Name,Comment,Time,Likes,Reply Count
Mrs McDonald,Woman here 👋 You both open my eyes and mind to new angles on old issues.,2021-11-09T22:17:10Z,0,0
BASSREEFLEX,"Toxic Masculinity is the go to, for Spinless Bitter Women : https://youtu.be/5qzrZmVYAGk",2021-11-09T12:50:09Z,0,0
From Ideology to Unity - Logos Legacy,"What if the wounded masculine is healed with kindness and understanding, not judgement?",2021-11-07T20:37:26Z,0,0
Stacy,🖤🖤🖤,2021-11-07T16:18:22Z,0,0
Glass Menagerie,"Jordan spouts a lot of shite that he does not back up. Quick google search shows Youtube user base shows users as 55 percent  male and 45 percent female. Not the 80/20 his viewership reflects and which he claims mirrors the YouTube user base. This is not correct. He is not correct. About a lot of things. It's fine to make assertions and conclusions.. but hedge a little bit man, throw in a caveat or two. You just look dumb spouting cock sure inaccuracies.",2021-11-06T20:00:32Z,0,3
Toonski plays,"@Glass Menagerie course the thing i found said the userbase was a 1:1 ratio but males made up 90% of views. 

what did you find?",2021-11-07T22:54:48Z,0,
Glass Menagerie,Toonski plays I very much doubt I will find a difference. Did you even bother to look?,2021-11-07T21:06:52Z,0,
Toonski plays,this interview is from 3 years ago your stats are from 2021,2021-11-07T07:57:23Z,0,
William Dixon,I love Jordan . Learning to love you too Russel,2021-11-06T19:55:48Z,0,0
T. J.,"We really need masculinity in this crazy feminist era we’re living in. Men need help and guidance, not being put down by evil feminists. You go guys!",2021-11-06T13:24:11Z,1,0
Jesse,I wish you could get Joaquin Phoenix on the podcast !!! 👍🏼,2021-11-05T19:49:44Z,0,0
M Fitch,FK!  This is good shit gents!!,2021-11-04T19:21:26Z,0,0
D Roller,"I think that's a great point Russel. About society sexualizing femininity and idolizing that. It makes me think that as women funnel there feminine behavior and nature in that way, as a consequence they don't funnel or nurture it in there relationships, or to there partner properly. There taught to express there feminine nature sexually to society and also through social media. There relationships then lack the feminine nurturing it needs.",2021-11-04T08:56:01Z,1,0
A Frica,So feminine energy is equated with the demonic?,2021-11-04T05:20:11Z,1,0
Bela Wood,Jordan talks like a whiny little boy - it's quite distracting,2021-11-04T01:00:34Z,1,0
Kajzer Soze,I know more women then men are watching YouTube.,2021-11-03T12:47:47Z,0,0
Jake E,Good conversation 👌!!,2021-11-01T21:04:01Z,0,0
Prestorizzor,"I remember years ago I thought Russel Brand is a bumbling idiot.
Now I have nothing but respect for the guy 🥦",2021-10-31T16:18:37Z,1,0
Keyten DeGraef,Masculinity can’t be toxic there is just masculinity and different levels of it,2021-10-30T02:02:33Z,0,1
Vladimir of Svalbard,"I don't think it has as much to do with masculinity than it does with personality and ""the shadow"".

I think that men and women ""that don't see their own shadow"" are far more likely to be (toxic) in general.

Letting go of pride is the first step in reducing your biological and psychological impulses and judgements.",2021-11-02T15:32:51Z,0,
Hiddenkings,Why does Jordan Peterson always get badly lit?,2021-10-29T07:02:08Z,0,0
Victor Okoro,I feel like Russell's real life goal is to use every single word in the dictionary. Waiting till he gets to Zebra,2021-10-28T18:44:22Z,2,1
N F,That would be eminem lol....,2021-10-28T22:07:52Z,0,
Andy Igwe,"I love these archetypal stories with Jordan Peterson,  they're his most fascinating tales. It's just like Greek mythology for the 21st century",2021-10-26T22:31:37Z,1,0
a n,I'd love to see a Lauren Southern Russell conversation,2021-10-26T07:49:15Z,0,0
Artone Artone,"Glad I found this, good talk",2021-10-26T00:23:29Z,0,0
I shouldn’t Be On YouTube I Should Be Reading,"Russell sounds like the one guy in drama class who actually cared about the lesson, but had absolutely no acting skills whatsoever",2021-10-24T18:58:07Z,0,0
Marc Welbourn,It's so cute how starsruck Russell is here  <3,2021-10-23T20:40:45Z,0,0
Lynn Stewart,Very refreshing conversation!,2021-10-23T19:43:15Z,0,0
